Tiempo;Cuaternión X;Cuaternión Y;Cuaternión Z;Cuaternión W
3.42211;0.645942;-0.329438;-0.649223;-0.222187
3.4322;0.645962;-0.329366;-0.649233;-0.222207
3.44229;0.645988;-0.329301;-0.649236;-0.22222
3.45238;0.646006;-0.329229;-0.649241;-0.222259
3.46247;0.64603;-0.329157;-0.649247;-0.222277
3.47256;0.646052;-0.32909;-0.649251;-0.222298
3.48265;0.646072;-0.329032;-0.649248;-0.222337
3.49274;0.646081;-0.328976;-0.649252;-0.222382
3.50283;0.646085;-0.328934;-0.649255;-0.222422
3.51291;0.646091;-0.328887;-0.649258;-0.222468
3.523;0.646088;-0.328842;-0.64927;-0.222508
3.53309;0.646072;-0.328839;-0.649269;-0.222559
3.54318;0.646067;-0.328827;-0.649261;-0.222618
3.55327;0.646064;-0.328806;-0.649253;-0.222678
3.56336;0.646068;-0.328788;-0.649244;-0.22272
3.57345;0.646067;-0.328777;-0.64924;-0.22275
3.58354;0.646049;-0.328798;-0.649227;-0.222808
3.59363;0.646039;-0.328821;-0.649209;-0.22286
3.60371;0.646019;-0.328834;-0.649197;-0.22293
3.6138;0.646001;-0.328861;-0.649178;-0.222998
3.62389;0.645984;-0.328877;-0.649169;-0.223052
3.63398;0.645981;-0.328857;-0.649174;-0.223075
3.64407;0.645977;-0.328827;-0.649186;-0.223096
3.65416;0.645972;-0.328796;-0.649205;-0.223101
3.66425;0.645973;-0.328762;-0.649215;-0.223118
3.67434;0.645948;-0.328765;-0.649224;-0.223161
3.68443;0.645905;-0.328827;-0.649204;-0.223253
3.69452;0.645863;-0.328898;-0.649174;-0.223356
3.7046;0.645814;-0.328962;-0.649151;-0.223469
3.71469;0.645774;-0.329038;-0.649124;-0.223553
3.72478;0.645763;-0.329056;-0.649111;-0.223596
3.73487;0.645768;-0.329037;-0.649119;-0.223586
3.74496;0.645791;-0.328998;-0.649125;-0.223561
3.75505;0.64581;-0.328954;-0.649134;-0.223543
3.76514;0.64584;-0.328897;-0.649145;-0.22351
3.77523;0.645864;-0.32885;-0.649159;-0.223465
3.78532;0.645885;-0.32879;-0.649177;-0.223443
3.7954;0.6459;-0.328748;-0.64919;-0.223422
3.80549;0.645912;-0.32869;-0.649204;-0.223433
3.81558;0.645905;-0.328649;-0.649222;-0.223463
3.82567;0.645864;-0.32867;-0.649221;-0.22355
3.83576;0.645808;-0.32873;-0.649215;-0.223644
3.84585;0.645746;-0.32881;-0.649213;-0.22371
3.85594;0.645695;-0.328896;-0.649205;-0.223754
3.86603;0.645647;-0.328982;-0.649189;-0.223813
3.87612;0.645591;-0.329093;-0.649157;-0.223902
3.8862;0.645545;-0.329196;-0.649117;-0.224003
3.89629;0.645519;-0.329277;-0.649068;-0.224099
3.90638;0.645487;-0.329347;-0.649018;-0.224233
3.91647;0.645461;-0.329395;-0.648982;-0.224344
3.92656;0.64547;-0.329375;-0.648963;-0.2244
3.93665;0.645472;-0.329354;-0.648958;-0.224442
3.94674;0.64547;-0.329336;-0.648952;-0.224489
3.95683;0.645468;-0.329322;-0.648947;-0.22453
3.96692;0.645464;-0.329319;-0.648938;-0.224573
3.97701;0.64547;-0.329292;-0.64895;-0.224559
3.98709;0.645479;-0.329277;-0.648958;-0.224534
3.99718;0.645489;-0.329252;-0.64898;-0.224477
4.00727;0.64551;-0.329208;-0.648994;-0.22444
4.01736;0.645521;-0.329166;-0.649013;-0.224415
4.02745;0.645516;-0.32916;-0.649013;-0.224439
4.03754;0.64552;-0.329161;-0.649;-0.224464
4.04763;0.645518;-0.329149;-0.648989;-0.224519
4.05772;0.645522;-0.329132;-0.648982;-0.224552
4.06781;0.645531;-0.329094;-0.648983;-0.224579
4.07789;0.645546;-0.329042;-0.648998;-0.224568
4.08798;0.645553;-0.329002;-0.649016;-0.224554
4.09807;0.645546;-0.328974;-0.649029;-0.224577
4.10816;0.645536;-0.328959;-0.649044;-0.224587
4.11825;0.645527;-0.328961;-0.649047;-0.224599
4.12834;0.6455;-0.329023;-0.649026;-0.224649
4.13843;0.645472;-0.32909;-0.649007;-0.224688
4.14852;0.64545;-0.329135;-0.648994;-0.224723
4.15861;0.645432;-0.329172;-0.648971;-0.224785
4.1687;0.645441;-0.329169;-0.648963;-0.224786
4.17878;0.645467;-0.329126;-0.648967;-0.22476
4.18887;0.645491;-0.329077;-0.64898;-0.224729
4.19896;0.645515;-0.329026;-0.648997;-0.224685
4.20905;0.645532;-0.328979;-0.649014;-0.224654
4.21914;0.645542;-0.328949;-0.64902;-0.224654
4.22923;0.64554;-0.328934;-0.649024;-0.22467
4.23932;0.645538;-0.328918;-0.649028;-0.224687
4.24941;0.645525;-0.328902;-0.649041;-0.224709
4.2595;0.645527;-0.328896;-0.649028;-0.224751
4.26958;0.645537;-0.328867;-0.649017;-0.224794
4.27967;0.645555;-0.328829;-0.649004;-0.224837
4.28976;0.645569;-0.328798;-0.649;-0.224853
4.29985;0.645574;-0.328767;-0.649001;-0.224883
4.30994;0.645588;-0.328737;-0.649001;-0.224885
4.32003;0.645567;-0.32877;-0.648977;-0.224968
4.33012;0.645531;-0.328823;-0.648951;-0.225066
4.34021;0.645484;-0.328885;-0.648928;-0.225179
4.3503;0.645445;-0.328942;-0.648903;-0.225279
4.36039;0.645397;-0.329008;-0.648881;-0.225384
4.37047;0.645374;-0.329027;-0.648869;-0.225456
4.38056;0.645359;-0.329047;-0.648853;-0.225516
4.39065;0.645334;-0.329081;-0.648842;-0.22557
4.40074;0.645307;-0.329122;-0.648829;-0.225624
4.41083;0.64528;-0.329163;-0.648811;-0.225694
4.42092;0.645272;-0.329182;-0.648798;-0.225726
4.43101;0.645266;-0.329196;-0.648792;-0.22574
4.4411;0.645249;-0.329195;-0.648792;-0.225787
4.45119;0.64523;-0.329201;-0.648793;-0.225831
4.46127;0.645224;-0.329189;-0.648796;-0.225858
4.47136;0.645231;-0.329152;-0.648814;-0.22584
4.48145;0.645237;-0.329126;-0.648823;-0.225835
4.49154;0.645252;-0.329083;-0.648833;-0.225827
4.50163;0.645264;-0.329051;-0.648843;-0.22581
4.51172;0.645278;-0.329027;-0.648844;-0.225801
4.52181;0.645268;-0.32906;-0.648823;-0.225844
4.5319;0.645261;-0.329077;-0.648809;-0.225878
4.54199;0.64526;-0.329078;-0.648799;-0.225909
4.55207;0.645257;-0.32908;-0.648796;-0.225924
4.56216;0.645248;-0.329072;-0.648803;-0.225941
4.57225;0.645274;-0.329016;-0.648821;-0.225895
4.58234;0.645296;-0.328959;-0.648842;-0.225857
4.59243;0.645305;-0.328905;-0.648873;-0.22582
4.60252;0.645299;-0.328866;-0.648906;-0.2258
4.61261;0.645264;-0.328886;-0.648919;-0.225832
4.6227;0.6452;-0.328957;-0.648921;-0.225904
4.63279;0.64514;-0.329043;-0.648919;-0.225958
4.64288;0.645085;-0.329126;-0.648909;-0.226025
4.65296;0.645036;-0.329213;-0.648884;-0.226107
4.66305;0.645015;-0.329272;-0.648856;-0.226164
4.67314;0.64501;-0.329285;-0.648843;-0.226194
4.68323;0.645018;-0.329278;-0.648829;-0.226225
4.69332;0.645022;-0.329262;-0.648812;-0.226284
4.70341;0.64502;-0.329247;-0.648811;-0.226314
4.7135;0.645009;-0.329243;-0.648812;-0.226347
4.72359;0.645;-0.329254;-0.64881;-0.226361
4.73368;0.644981;-0.329266;-0.648812;-0.226394
4.74377;0.644966;-0.329274;-0.648805;-0.226443
4.75385;0.644965;-0.329281;-0.648787;-0.226487
4.76394;0.644972;-0.329264;-0.64878;-0.226516
4.77403;0.644994;-0.329231;-0.648769;-0.226529
4.78412;0.645022;-0.329199;-0.648755;-0.226539
4.79421;0.645048;-0.329175;-0.648745;-0.226526
4.8043;0.645078;-0.329154;-0.648723;-0.226538
4.81439;0.645082;-0.329175;-0.648692;-0.226582
4.82448;0.645083;-0.329181;-0.648658;-0.226669
4.83457;0.645069;-0.329202;-0.648637;-0.226738
4.84466;0.645068;-0.329229;-0.648612;-0.226775
4.85474;0.645054;-0.329254;-0.648587;-0.226848
4.86483;0.645085;-0.329184;-0.6486;-0.226821
4.87492;0.645101;-0.329122;-0.648623;-0.226801
4.88501;0.645114;-0.329075;-0.64864;-0.226783
4.8951;0.645116;-0.329035;-0.648659;-0.226783
4.90519;0.645129;-0.32902;-0.648664;-0.226754
4.91528;0.645156;-0.328994;-0.648674;-0.226688
4.92537;0.645184;-0.328955;-0.648684;-0.226634
4.93546;0.645221;-0.328907;-0.648696;-0.226564
4.94554;0.645264;-0.328849;-0.648717;-0.226467
4.95563;0.645287;-0.328811;-0.648729;-0.226422
4.96572;0.645266;-0.328849;-0.648707;-0.226489
4.97581;0.645243;-0.328883;-0.648691;-0.226551
